timestamp,demanda_ejecutado,programacion_diaria,reprogramacion_diaria
2023-01-09 12:30:00,7187.436,7300.42239,7487.0987
2023-01-09 13:00:00,7249.701,7249.55454,7496.09235
2023-01-09 13:30:00,7263.329,7242.98307,7426.06666
2023-01-09 14:00:00,7170.89575,7250.60304,7422.26571
2023-01-09 14:30:00,7407.697,7315.61846,7451.88247
2023-01-09 15:00:00,7385.257,7342.26807,7434.18552
2023-01-09 15:30:00,7437.866,7344.07464,7471.19569
2023-01-09 16:00:00,7431.899,7341.06085,7457.71874
2023-01-09 16:30:00,7375.335,7314.30253,7410.49241
2023-01-09 17:00:00,7216.132,7162.14773,7405.16117
2023-01-09 17:30:00,7120.289,7060.03008,7249.32281
2023-01-09 18:00:00,6902.033,6871.69649,7199.54364
2023-01-09 18:30:00,6775.39,7049.21324,7042.34352
2023-01-09 19:00:00,7149.825,7280.29491,7021.50576
2023-01-09 19:30:00,7333.641,7306.21702,7360.04484
2023-01-09 20:00:00,7344.466,7323.12803,7345.67719
2023-01-09 20:30:00,7305.466,7317.50376,7397.7356
2023-01-09 21:00:00,7260.535,7312.26726,7387.97442
2023-01-09 21:30:00,7135.726,7304.91069,7367.08385
2023-01-09 22:00:00,7084.313,7215.1494,7353.20527
2023-01-09 22:30:00,6999.998,7106.90122,7230.78818
2023-01-09 23:00:00,6913.594,6973.04348,7216.44837
2023-01-09 23:30:00,6774.825,6783.77232,6933.67763
2023-01-10 00:00:00,6599.34834,6530.27337,6921.4695
2023-01-10 00:30:00,6485.1,6405.09149,6570.26355
2023-01-10 01:00:00,6400.01,6297.06747,6545.5263
2023-01-10 01:30:00,6270.5,6221.46655,6401.44493
2023-01-10 02:00:00,6130.61,6127.76159,6400.48599
2023-01-10 02:30:00,6178.39,6070.06521,6271.14265
2023-01-10 03:00:00,6122.46,6065.69742,6275.53874
2023-01-10 03:30:00,6024.47,6024.61448,6206.71888
2023-01-10 04:00:00,6198.88,6033.16763,6213.41702
2023-01-10 04:30:00,6195.63,6050.91395,6223.76665
2023-01-10 05:00:00,6194.52,6069.999,6212.7674
2023-01-10 05:30:00,6217.25,6072.74807,6268.30522
2023-01-10 06:00:00,6146.95,6043.64935,6288.41131
2023-01-10 06:30:00,6250.38,6116.44558,6374.25328
2023-01-10 07:00:00,6396.47,6192.98532,6422.47955
2023-01-10 07:30:00,6535.92,6365.63535,6788.62676
2023-01-10 08:00:00,6800.85,6540.05675,6824.23393
2023-01-10 08:30:00,7014.35,6777.88597,7177.30988
2023-01-10 09:00:00,7078.14,6948.08434,7183.91861
2023-01-10 09:30:00,7315.7,7039.48376,7374.6532
2023-01-10 10:00:00,7350.11,7144.45498,7408.57922
